Month,Com-ID,Display_ID,Owner,Local_authority_area,Postcode,Domain,Number_of_sessions,Power_drawn_kWh,Number_of_faults,Uptime,Display_category
24-Dec,EFA51101,51101,"ChargePlace Scotland, Falkland Rural Enterprises",Fife,KY15 7AD,ChargePlace Scotland,0,0,0,100.00%,Public
24-Dec,54266,54266,"ChargePlace Scotland, Perth & Kinross Council",Perth and Kinross,PH7 3EY,ChargePlace Scotland,134,2796.21,1,96.60%,Public
24-Dec,52747,52747,"ChargePlace Scotland, Perth & Kinross Council",Perth and Kinross,PH7 3JE,ChargePlace Scotland,97,2303.77,0,95.20%,Public
24-Dec,54244,54244,"ChargePlace Scotland, Perth & Kinross Council",Perth and Kinross,PH10 6AW,ChargePlace Scotland,97,2671.94,2,93.30%,Public
24-Dec,52987,52987,"ChargePlace Scotland, Perth & Kinross Council",Perth and Kinross,PH2 7FF,ChargePlace Scotland,63,1148.12,0,98.40%,Public
24-Dec,50994,50994,"ChargePlace Scotland, Perth & Kinross Council",Perth and Kinross,PH10 6AW,ChargePlace Scotland,30,738.21,4,100.00%,Public
24-Dec,50995,50995,"ChargePlace Scotland, Perth & Kinross Council",Perth and Kinross,PH15 2AD,ChargePlace Scotland,93,2278.34,2,100.00%,Public
24-Dec,50282,50282,"ChargePlace Scotland, Perth & Kinross Council",Perth and Kinross,PH16 5AW,ChargePlace Scotland,125,2846.35,3,91.80%,Public
24-Dec,50297,50297,"ChargePlace Scotland, Perth & Kinross Council",Perth and Kinross,PH16 5AW,ChargePlace Scotland,33,525.77,0,72.20%,Public
24-Dec,50993,50993,"ChargePlace Scotland, Perth & Kinross Council",Perth and Kinross,PH7 3HA,ChargePlace Scotland,39,689.19,1,82.10%,Public
24-Dec,50575,50575,"ChargePlace Scotland, Perth & Kinross Council",Perth and Kinross,PH2 8AW,ChargePlace Scotland,43,807.71,2,97.70%,Public
24-Dec,50285,50285,"ChargePlace Scotland, Perth & Kinross Council",Perth and Kinross,PH2 0PX,ChargePlace Scotland,0,0,0,100.00%,Public
24-Dec,APT50811,50811,"ChargePlace Scotland, Perth & Kinross Council",Perth and Kinross,PH15 2AD,ChargePlace Scotland,57,1051.72,1,100.00%,Public
24-Dec,50277,50277,"ChargePlace Scotland, Perth & Kinross Council",Perth and Kinross,PH2 8AW,ChargePlace Scotland,24,423.84,0,99.70%,Public
24-Dec,52946,52946,"ChargePlace Scotland, Perth & Kinross Council",Perth and Kinross,KY13 9XG,ChargePlace Scotland,54,1336.83,1,100.00%,Public
24-Dec,APT50813,50813,"ChargePlace Scotland, Perth & Kinross Council",Perth and Kinross,PH7 3HA,ChargePlace Scotland,48,909.43,0,100.00%,Public
24-Dec,50278,50278,"ChargePlace Scotland, Perth & Kinross Council",Perth and Kinross,PH2 8AW,ChargePlace Scotland,22,424.18,0,100.00%,Public
24-Dec,53364,53364,"ChargePlace Scotland, Perth & Kinross Council",Perth and Kinross,PH1 4LT,ChargePlace Scotland,15,68.94,1,100.00%,Public
24-Dec,53365,53365,"ChargePlace Scotland, Perth & Kinross Council",Perth and Kinross,PH10 7NX,ChargePlace Scotland,18,457.68,1,97.40%,Public
